observation_date,BAMLC0A0CMEY
2011-05-23,3.75
2011-05-24,3.75
2011-05-25,3.76
2011-05-26,3.70
2011-05-27,3.71
2011-05-30,3.70
2011-05-31,3.72
2011-06-01,3.67
2011-06-02,3.73
2011-06-03,3.71
2011-06-06,3.71
2011-06-07,3.71
2011-06-08,3.68
2011-06-09,3.72
2011-06-10,3.71
2011-06-13,3.73
2011-06-14,3.80
2011-06-15,3.71
2011-06-16,3.69
2011-06-17,3.72
2011-06-20,3.73
2011-06-21,3.74
2011-06-22,3.74
2011-06-23,3.70
2011-06-24,3.68
2011-06-27,3.74
2011-06-28,3.83
2011-06-29,3.85
2011-06-30,3.88
2011-07-01,3.89
2011-07-04,3.89
2011-07-05,3.83
2011-07-06,3.81
2011-07-07,3.85
2011-07-08,3.74
2011-07-11,3.68
2011-07-12,3.69
2011-07-13,3.67
2011-07-14,3.70
2011-07-15,3.69
2011-07-18,3.70
2011-07-19,3.69
2011-07-20,3.72
2011-07-21,3.77
2011-07-22,3.72
2011-07-25,3.75
2011-07-26,3.70
2011-07-27,3.73
2011-07-28,3.70
2011-07-29,3.59
2011-07-31,3.60
2011-08-01,3.57
2011-08-02,3.49
2011-08-03,3.50
2011-08-04,3.44
2011-08-05,3.54
2011-08-08,3.55
2011-08-09,3.49
2011-08-10,3.51
2011-08-11,3.69
2011-08-12,3.62
2011-08-15,3.66
2011-08-16,3.61
2011-08-17,3.58
2011-08-18,3.58
2011-08-19,3.60
2011-08-22,3.62
2011-08-23,3.71
2011-08-24,3.82
2011-08-25,3.77
2011-08-26,3.75
2011-08-29,3.80
2011-08-30,3.72
2011-08-31,3.73
2011-09-01,3.67
2011-09-02,3.61
2011-09-05,3.61
2011-09-06,3.64
2011-09-07,3.67
2011-09-08,3.63
2011-09-09,3.62
2011-09-12,3.68
2011-09-13,3.73
2011-09-14,3.73
2011-09-15,3.77
2011-09-16,3.76
2011-09-19,3.70
2011-09-20,3.71
2011-09-21,3.70
2011-09-22,3.72
2011-09-23,3.83
2011-09-26,3.90
2011-09-27,3.96
2011-09-28,3.95
2011-09-29,3.93
2011-09-30,3.95
2011-10-03,3.91
2011-10-04,4.01
2011-10-05,4.09
2011-10-06,4.11
2011-10-07,4.13
2011-10-10,4.12
2011-10-11,4.14
2011-10-12,4.12
2011-10-13,4.06
2011-10-14,4.06
2011-10-17,4.00
2011-10-18,3.98
2011-10-19,3.93
2011-10-20,3.94
2011-10-21,3.91
2011-10-24,3.90
2011-10-25,3.80
2011-10-26,3.84
2011-10-27,3.86
2011-10-28,3.77
2011-10-31,3.74
2011-11-01,3.70
2011-11-02,3.68
2011-11-03,3.71
2011-11-04,3.69
2011-11-07,3.68
2011-11-08,3.73
2011-11-09,3.73
2011-11-10,3.79
2011-11-11,3.79
2011-11-14,3.79
2011-11-15,3.82
2011-11-16,3.82
2011-11-17,3.83
2011-11-18,3.89
2011-11-21,3.91
2011-11-22,3.95
2011-11-23,3.94
2011-11-24,3.94
2011-11-25,4.00
2011-11-28,3.99
2011-11-29,4.03
2011-11-30,4.07
2011-12-01,4.09
2011-12-02,4.00
2011-12-05,3.97
2011-12-06,3.99
2011-12-07,3.94
2011-12-08,3.92
2011-12-09,3.98
2011-12-12,3.97
2011-12-13,3.94
2011-12-14,3.92
2011-12-15,3.94
2011-12-16,3.89
2011-12-19,3.88
2011-12-20,3.94
2011-12-21,3.98
2011-12-22,3.96
2011-12-23,4.02
2011-12-26,
2011-12-27,4.01
2011-12-28,3.92
2011-12-29,3.90
2011-12-30,3.87
2011-12-31,3.88
2012-01-02,
2012-01-03,3.91
2012-01-04,3.91
2012-01-05,3.90
2012-01-06,3.87
2012-01-09,3.85
2012-01-10,3.84
2012-01-11,3.80
2012-01-12,3.80
2012-01-13,3.75
2012-01-16,3.74
2012-01-17,3.73
2012-01-18,3.74
2012-01-19,3.75
2012-01-20,3.76
2012-01-23,3.75
2012-01-24,3.73
2012-01-25,3.67
2012-01-26,3.59
2012-01-27,3.56
2012-01-30,3.53
2012-01-31,3.53
2012-02-01,3.54
2012-02-02,3.51
2012-02-03,3.55
2012-02-06,3.50
2012-02-07,3.52
2012-02-08,3.51
2012-02-09,3.53
2012-02-10,3.50
2012-02-13,3.51
2012-02-14,3.47
2012-02-15,3.48
2012-02-16,3.53
2012-02-17,3.52
2012-02-20,3.52
2012-02-21,3.53
2012-02-22,3.49
2012-02-23,3.48
2012-02-24,3.47
2012-02-27,3.42
2012-02-28,3.41
2012-02-29,3.43
2012-03-01,3.44
2012-03-02,3.39
2012-03-05,3.41
2012-03-06,3.40
2012-03-07,3.42
2012-03-08,3.44
2012-03-09,3.45
2012-03-12,3.44
2012-03-13,3.48
2012-03-14,3.56
2012-03-15,3.54
2012-03-16,3.54
2012-03-19,3.58
2012-03-20,3.58
2012-03-21,3.52
2012-03-22,3.52
2012-03-23,3.50
2012-03-26,3.49
2012-03-27,3.45
2012-03-28,3.46
2012-03-29,3.44
2012-03-30,3.47
2012-03-31,3.49
2012-04-02,3.47
2012-04-03,3.54
2012-04-04,3.52
2012-04-05,3.49
2012-04-06,
