Year,S&P 500 (includes dividends),3-month T.Bill,US T. Bond (10-year),Inflation Rate,S&P 500 (Real),T. Bill (Real),T.Bond (Real),Year.1,Nominal value of $100 invested in 1928,Real value of $100 invested in 1928,Unnamed: 14,Stocks,T. Bills,T. Bonds
1960.0,0.00336535314743695,0.028729718875502006,0.11639503690963365,0.0136008,-0.010098104552169973,0.014925914497602832,0.10141491296142768,1960.0,1614.366327651135,1293.254779359271,75th percentile,0.2597,0.0506,0.0854
1961.0,0.2663771295818275,0.023524899598393576,0.020609208076323167,0.006709199999999999,0.2579373761378436,0.01670363159330779,0.013807371658392631,1961.0,2044.3965961044005,1164.9373989115893,75th percentile,0.2597,0.0506,0.0854
1962.0,-0.08811460517120888,0.027723694779116466,0.05693544054008462,0.0123292,-0.09922049583397252,0.015207004578270178,0.04406297925623859,1962.0,1864.2553972252979,1405.2247247474297,75th percentile,0.2597,0.0506,0.0854
1963.0,0.22611927099841514,0.03156024096385542,0.016841620739546127,0.0164582,0.2062662989962747,0.014857513042696002,0.00037721250076594437,1963.0,2285.7994686007432,1616.5296725476685,75th percentile,0.2597,0.0506,0.0854
1964.0,0.16415455878432425,0.035457370517928286,0.037280648911540815,0.0119819,0.1503709293459934,0.023197520151228,0.024999210866855304,1964.0,2661.023871838341,1782.7385266617646,75th percentile,0.2597,0.0506,0.0854
1965.0,0.12399242477876114,0.03949076305220883,0.007188550935926234,0.0192,0.10281831316597434,0.019908519478226694,-0.011785173728486975,1965.0,2990.9706741017444,1552.815642516882,75th percentile,0.2597,0.0506,0.0854
1966.0,-0.0997095423563779,0.048557199999999995,0.029079409324299622,0.033595,-0.12897173685667784,0.014475882720020872,-0.00436882016234641,1966.0,2692.7423569857124,1861.3663561431545,75th percentile,0.2597,0.0506,0.0854
1967.0,0.23802966513133328,0.04293453815261044,-0.015806209932824666,0.0328068,0.1987040220216727,0.009806033570470829,-0.04706883216960289,1967.0,3333.6949185039784,1969.9663199460783,75th percentile,0.2597,0.0506,0.0854
1968.0,0.10814862651601535,0.053376,0.032746196950768365,0.0470588,0.05834421764662623,0.006033281034455884,-0.013669340298015475,1968.0,3694.2294451636035,1706.9246487198486,75th percentile,0.2597,0.0506,0.0854
1969.0,-0.08241371076449064,0.06668467741935484,-0.050140493209926106,0.0589888,-0.13352597380113063,0.007267194345544237,-0.10305046966495413,1969.0,3389.7742881722256,1674.4395690192744,75th percentile,0.2597,0.0506,0.0854
