Date,stock_weight,bond_weight,portfolio_value
2021-03-25,0.5,0.5,9970.75742720788
2021-03-26,0.5,0.5,10089.868279782171
2021-03-29,0.5,0.5,10161.452664658933
2021-03-30,0.5,0.5,10121.63198793184
2021-03-31,0.5,0.5,10199.695652769133
2021-04-01,0.5,0.5,10100.132393197762
2021-04-05,0.5,0.5,10224.088980641445
2021-04-06,0.5,0.5,10137.128237081277
2021-04-07,0.5,0.5,10110.451502668468
2021-04-08,0.5,0.5,10106.222677460484
2021-04-09,0.5,0.5,10167.772312912997
2021-04-12,0.5,0.5,10193.583012193461
2021-04-13,0.5,0.5,10144.740825289759
2021-04-14,0.5,0.5,10149.25306000853
2021-04-15,0.5,0.5,10036.868777835303
2021-04-16,0.5,0.5,10128.97848986565
2021-04-19,0.5,0.5,10163.184434877172
2021-04-20,0.5,0.5,10113.584199987272
2021-04-21,0.5,0.5,10132.842513730577
2021-04-22,0.5,0.5,10115.016175880031
2021-04-23,0.5,0.5,10132.683092593164
2021-04-26,0.5,0.5,10132.707275157247
2021-04-27,0.5,0.5,10178.603471353636
2021-04-28,0.5,0.5,10188.530831774677
2021-04-29,0.5,0.5,10209.446089530202
2021-04-30,0.5,0.5,10231.255991594551
2021-05-03,0.5,0.5,10175.254994190256
2021-05-04,0.5,0.5,10138.572722801693
2021-05-05,0.5,0.5,10102.380472866933
2021-05-06,0.5,0.5,10096.955281706569
2021-05-07,0.5,0.5,10139.40713473242
2021-05-10,0.5,0.5,10161.12366281711
2021-05-11,0.5,0.5,10142.849623269714
2021-05-12,0.5,0.5,10225.88953734687
2021-05-13,0.5,0.5,10176.138408694955
2021-05-14,0.5,0.5,10170.55353401439
2021-05-17,0.5,0.5,10133.599040165847
2021-05-18,0.5,0.5,10130.234849602657
2021-05-19,0.5,0.5,10160.159108073482
2021-05-20,0.5,0.5,10137.152208066782
2021-05-21,0.5,0.5,10133.132764313204
2021-05-24,0.5,0.5,10111.37901219013
2021-05-25,0.5,0.5,10045.188694796854
2021-05-26,0.5,0.5,10032.30259747099
2021-05-27,0.5,0.5,10092.703935749996
2021-05-28,0.5,0.5,10051.284856300126
2021-06-01,0.5,0.5,10165.334048419214
2021-06-02,0.5,0.5,10097.946609283645
2021-06-03,0.5,0.5,10153.519468166376
2021-06-04,0.5,0.5,10094.595133922685
2021-06-07,0.5,0.5,10093.271326039912
2021-06-08,0.5,0.5,10050.908574795849
2021-06-09,0.5,0.5,9979.531063551965
2021-06-10,0.5,0.5,9946.218371732808
2021-06-11,0.5,0.5,9944.626468115557
2021-06-14,0.5,0.5,10025.830581905031
2021-06-15,0.5,0.5,10003.579793184512
2021-06-16,0.5,0.5,10118.20416341148
2021-06-17,0.5,0.5,9999.428274276459
2021-06-18,0.5,0.5,9918.855522490912
2021-06-21,0.5,0.5,9992.317345037478
2021-06-22,0.5,0.5,10003.289291508387
2021-06-23,0.5,0.5,10052.507843391708
2021-06-24,0.5,0.5,10045.79276530205
2021-06-25,0.5,0.5,10135.69016970535
2021-06-28,0.5,0.5,10046.735259229406
2021-06-29,0.5,0.5,10032.275298523728
2021-06-30,0.5,0.5,10010.153126939917
2021-07-01,0.5,0.5,10104.60533837825
